drug_name,form,indication,prescription_raw,method
风痛丸,丸剂,散风除湿，益气活络。用于经络不和中风引起的半身不遂，牙关紧闭，口眼歪斜，风寒湿痹，筋骨痿弱，四肢麻木，骨节酸痛，气血亏损，腰酸腿软，头目眩晕，手足抽搐。,豹骨（油炙）150g、白芍 60g、白附片 60g、川芎 30g、鹿筋 60g、豨莶草 60g、地龙（酒炙）60g、地黄 60g、片姜黄 60g、黄芪 120g、钩藤 60g、蜈蚣 30g、甘草 30g、伸筋草 60g、黄精（酒炙）60g、白术（麸炒）60g、蕲蛇肉（酒炙）30g、冬虫夏草 60g、牛膝 60g、苍耳子（炒）30g、远志（炒黑）30g、西红花 60g、桂枝 60g、当归 30g、细辛 30g、沙苑子 30g、红参 30g、杜仲（炭）60g、防己 30g、狗脊（沙烫）60g、独活 18g、鸡血藤 80g、老鹳草 60g、全蝎 15g、没药（醋炙）60g、血竭 30g、苍术（炒）30g、铁丝威灵仙 60g、黄柏 30g、鹿角霜 30g、鹿衔草 60g、乌梢蛇（酒炙）60g、卷柏 30g、熟地黄 60g、羌活 12g、木瓜 60g、海桐皮 30g、枸骨叶 60g、千年健 30g、地枫皮 30g、青木香 30g、紫菀 15g,以上五十三味，粉碎成细粉，过筛，混匀。用水泛丸，低温干燥，滑石粉 150g 与朱砂粉 45g 配研后，包衣，打光，即得
丹参冲剂,颗粒剂,活血化瘀。用于冠心病引起的心绞痛症。,丹参 1000g,取丹参 1000g，加水煎煮三次，第一次 2 小时，第二、三次各 1.5 小时，滤过，合并滤液，浓缩至 500ml，加等量乙醇，充分搅拌，静置沉淀 12 小时，取上清液，回收乙醇，浓缩至相对密度为 1.30~1.40 (热测)，加入枸橼酸 10g、香精与蔗糖适量，制成颗粒，干燥，即得
少林正骨精,口服液,活血祛瘀，消肿止痛，祛风散寒。用于跌打损伤，积瘀肿痛，腰肢麻木，风湿骨病。,接骨仙桃草 148g、当归 90g、五加皮 179g、独活 118g、羌活 118g、三棱（醋制）71g、莪术（醋制）71g、土鳖虫 90g、艾叶 171g、延胡索（醋制）90g、花椒 179g、寻骨风 179g、血竭 60g、乳香 30g、伸筋草 148g、活络草 179g、苏木 179g、薄荷脑 142g、樟脑 120g、冰片 130g,以上二十味，接骨仙桃草、三棱、莪术、土鳖虫、延胡索、活络草加水煎煮二次，每次 2 小时，合并煎液，滤过，滤液浓缩成相对密度为 1.11~1.15 (热测) 的清膏，加 2 倍量乙醇，静置 24 小时，取上清液；另将当归、羌活、独活、五加皮、艾叶、花椒、苏木、寻骨风、伸筋草粉碎成粗粉，血竭研成粗粉，混合，用 65% 乙醇浸泡 96 小时后渗漉，收集渗漉液 9000ml，与上清液混合，静置 24 小时，滤过；另将薄荷脑、樟脑、冰片用 800ml 乙醇溶解，与麝香型香精 13ml 混合均匀后加入药液中，再与甘油 200ml 混匀，制成 10000ml，即得
心脉通片,片剂,活血化瘀，通脉养心，降压降脂。用于高血压、高脂血症等。,当归 185g、决明子 185g、钩藤 125g、牛膝 125g、丹参 100g、葛根 100g、槐花 100g、毛冬青 100g、夏枯草 100g、三七 6g,以上十味，三七粉碎成细粉，过筛。槐花加水煎煮至沸后，用石灰乳调 pH 至 8.5，再煎煮二次，滤过，合并滤液，用盐酸调 pH 至 4.5~5.4，冷却后，滤取沉淀，干燥，研成细粉；当归、钩藤加水煎煮二次，滤过，合并滤液，浓缩至适量，加乙醇使含醇量为 70%，静置 24 小时，滤过，滤液回收乙醇，浓缩成稠膏。其余丹参等六味加水煎煮二次，滤过，合并滤液，浓缩成稠膏，与上述稠膏及细粉和辅料适量混匀，制成颗粒，干燥，压制成 1000 片，包糖衣，即得
玉泉散,散剂,清火泻热。用于阳明内热，烦渴头痛，二便秘结。,石膏 600g、甘草 100g,以上二味，分别粉碎成中粉，过筛，混匀，即得
北芪五加片,片剂,益气，健脾，安神。用于体虚乏力，腰膝酸软，失眠多梦，食欲不振等。,黄芪干浸膏 200g、刺五加浸膏 50g,取刺五加浸膏温热，加入黄芪干浸膏及辅料适量，混匀，制成颗粒。干燥，压制成 1000 片，包糖衣，即得
归脾膏,膏剂,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,黄芪（蜜炙）40g、党参 40g、当归 80g、龙眼肉 80g、白术（炒）80g、木香 20g、茯苓 80g、甘草（蜜炙）20g、大枣（去核）20g、远志（制）80g、酸枣仁（炒）40g,以上十一味，加水煎煮二次，每次 3 小时，合并煎液，滤过，滤液浓缩至适量；另取蔗糖 800g，制成转化糖，加入上述药液中，混匀，浓缩至规定的相对密度，即得
田七跌打风湿软膏,膏剂,活血去瘀，舒筋通络，消肿止痛，祛风除湿。用于软组织挫伤，风湿腰痛，肌腱劳损，以及骨折、脱位引起的软组织损伤。,三七 17g、独活 35g、当归尾 35g、续断 35g、羌活 35g、栀子 35g、豨莶草 35g、五加皮 35g、防风 35g、白芷 69g、海桐皮 35g、威灵仙 35g、连钱草 35g、桃仁 35g、大黄 35g、黄柏 35g、泽兰 35g、忍冬 35g、木瓜 35g、甘草 35g、伸筋草 35g、骨碎补 69g、薄荷脑 69g、樟脑 52g、苏木 69g,以上二十五味，除薄荷脑、樟脑外，羌活、独活、当归尾、白芷、续断、防风、栀子、豨莶草、五加皮、连钱草用乙醇浸渍三天，滤过，滤液减压回收乙醇，浓缩成稠膏（1）备用；药渣与其余海桐皮等十三味用 60% 乙醇浸渍三天，滤过，滤液回收乙醇，浓缩成稠膏（2）备用；另将凡士林加热滤过，取硬脂酸、单硬脂酸甘油酯加热熔化，滤过，与凡士林搅拌均匀，制成基质。取稠膏（1）加入防腐剂、吐温 80、甘油适量，混匀，并加入蒸馏水适量，加热至 80℃，滤过，加入基质中，搅拌，温度下降至 60℃时，加入樟脑、薄荷脑，搅拌均匀后，再将稠膏（2）加入，搅拌均匀，制成 1000g 软膏，即得
四制香附丸,丸剂,理气和血，补血调经。用于血虚气滞，月经不调，胸腹胀症。,香附 400g、熟地黄 100g、当归（炒）100g、川芎 100g、白芍（炒）100g、白术（炒）75g、泽兰 75g、陈皮 75g、黄柏 25g、甘草（炙）25g,以上十味，将香附分成四等份，分别用米泔水 50ml（大米、糯米或小米 10g 淘洗之水）、黄酒 50ml、醋 50ml 及盐汤（含食盐 8g）浸泡，待吸干后，加水煮透，干燥，混匀，再与熟地黄等 9 味共粉碎成细粉，过筛，混匀，每 100g 粉末加炼蜜 50g 与水适量，泛丸，干燥，即得
生肌散,散剂,解毒，生肌。用于疮疔久溃，肌肉不生，久不收口。,象皮（滑石烫）30g、儿茶 30g、赤石脂 30g、龙骨（煅）30g、血竭 30g、乳香（醋炙）30g、没药（醋炙）30g、冰片 9g,以上八味，冰片研成细粉；其余象皮等七味粉碎成细粉，过筛，混匀，与上述冰片细粉配研，过筛，混匀，即得
生乳灵,颗粒剂,滋补气血，通络下乳。用于气血不足，乳络阻滞引起的乳汁短少，稀薄灰黄。,当归 140g、地黄 100g、黄芪（蜜炙）20g、党参 20g、玄参 100g、麦冬 20g、穿山甲（沙烫醋淬）60g、知母 40g,以上八味，加水煎煮二次，每次 4 小时，合并煎液，滤过，滤液浓缩至 2000ml，加入红糖 1000g，甲酸钠 12g，煮沸使溶解，加水至 4000ml，搅匀，滤过，灌装，即得
加味归芪片,片剂,补气，养血。用于气血两亏，气虚体弱，肢体劳倦。,当归 145g、黄芪 582g、党参 73g,以上三味，党参、黄芪加水煎煮三次，第一次 2 小时，第二、三次各 1 小时，合并煎液，滤过，滤液浓缩成相对密度为 1.30 (20℃) 的清膏；将当归粉碎成粗粉，过筛，与上述清膏混匀，加淀粉适量，低温干燥，粉碎，过筛，制成颗粒，干燥，压制成 1000 片，包糖衣，即得
辽源七厘散,散剂,舒筋活血，散瘀止痛。用于跌打损伤，瘀血内停，扭腰岔气，红肿作痛。,血竭 50g、红花 450g、三七 50g、当归 90g、乳香（制）240g、没药（制）200g、土鳖虫 80g、方海 240g、骨碎补（烫，去毛）240g、大黄 240g、儿茶 160g、降香 240g、冰片 16g,以上十三味，除冰片外，粉碎成细粉；冰片研细，与上述药粉配研，过筛，混匀，即得
发汗解热丸,丸剂,疏散风寒，解表祛湿。用于风寒湿邪引起的感冒，鼻塞流涕，身重恶寒等。,麻黄 75g、羌活 200g、防风 100g、苍术（炒）100g、细辛 50g、川芎 200g、白芷 100g、荆芥穗 50g、薄荷 50g、当归 100g、甘草 300g,以上十一味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 110~130g 制成大蜜丸，即得
西黄清醒丸,丸剂,清利咽喉，解热除烦。用于肺胃蕴热引起的口苦舌燥，咽喉肿痛，烦躁不安，气滞胸满，头晕耳鸣。,藏青果 150g、金果榄 150g、栀子 150g、黄连 300g、黄芩 300g、金银花 300g、薄荷 36g、冰片 45g、木香 150g、甘草 150g,以上十味，薄荷冰、冰片分别研成细粉，其余藏青果等八味粉碎成细粉，过筛，混匀，与上述薄荷冰等二味细粉配研均匀，过筛。每 100g 药粉加炼蜜 145~155g 制成大蜜丸，即得
朱氏阿魏消痞膏,膏剂,化痞消积。用于痞块，积聚，胀满疼痛。,阿魏 20.7g、肉桂 10.3g、乳香 10.3g、白芷 10.3g、没药 10.3g、麝香 3.1g、朱氏阿魏消痞膏药肉 1000g,以上七味，肉桂、白芷、麝香分别研细或粉碎成细粉，过筛，混匀，分装成 66 瓶，作为上料药粉；阿魏、乳香、没药分别粉碎成细粉，备用；取朱氏阿魏消痞膏药肉，用文火加热熔化后，将上述阿魏等备用药粉加入搅匀，分摊于兽皮上，即得
竹沥膏,膏剂,清热化痰，止咳平喘。用于咳嗽，咽痛，痰黄粘稠，口舌干燥，气促胸闷，舌边尖红。,竹沥油 30g、饴糖 500g,以上二味，将饴糖置锅内，加热浓缩至相对密度 1.30 (98℃测)，再将竹沥油兑入，加热搅拌均匀，使其色泽一致，浓缩至相对密度 1.31~1.33 (98℃测)，滤过，即得
伤科八厘散,散剂,祛瘀，活血，止痛。用于跌打损伤，瘀血疼痛，大便秘结。,土鳖虫 150g、乳香 150g、没药（制）150g、血竭 150g、半夏（制）75g、当归 75g、巴豆霜 75g、砂仁 75g、雄黄 75g、甜瓜子 75g,以上十味，雄黄水飞或粉碎成极细粉，其余土鳖虫等九味粉碎成细粉，与雄黄粉末配研，过筛，混匀，即得
伤科敷药,散剂,活血祛瘀，消肿止痛。用于跌打损伤，瘀血肿痛。,地黄 300g、石膏 300g、桃仁 180g、栀子 300g、泽兰 210g、赤芍 300g、当归尾 180g、大黄 300g、白芷 300g、红花 150g、地骨皮 150g、黄芩 150g、藁本 90g、十大功劳 150g、蒲黄 90g、生天南星 45g、山柰 45g,以上十七味，粉碎成细粉，过筛，混匀，即得
创灼膏,膏剂,排脓，拔毒，去腐，生皮、长肉。用于烧伤，烫伤，挫裂创口，老烂脚，褥疮，手术后创口感染，冻疮溃烂，慢性湿疹及常见疮疖。,炉甘石（煅）320g、石膏（煅）640g、甘石膏粉 366g、白及 50g、冰片 8g,以上五味，炉甘石、石膏、白及分别粉碎成细粉，另取凡士林 1600g，羊毛脂 200g，液状石蜡 200g 置锅内，加热使熔化，并升温至 200℃左右，慢慢加入炉甘石粉和石膏粉，边加边搅拌，加完后继续搅拌，在 200~220℃保温 2~2.5 小时，过筛，搅拌降温至 130℃左右，加入甘石膏粉及白及粉，130℃保温 30 分钟，加入对羟基苯甲酸乙酯 3.2g，搅拌降温至 80℃左右，加入研细的冰片，搅匀，再继续搅拌至冷，即得
血压平片,片剂,平肝潜阳，通血活络。用于头晕目眩等症。,毛冬青 136g、钩藤 27.2g、墨旱莲 34g、升麻 6.8g、谷精草 27.2g、夏枯草 34g、牛膝 13.6g、槐米 34g、桑寄生 68g、黄芩 20.4g、黄精 34g、珍珠层粉 10g,以上十二味，夏枯草、钩藤、墨旱莲、槐米、毛冬青、桑寄生、黄芩加水煎煮二次，滤过，合并滤液，浓缩成稠膏状，加乙醇使含醇量为 60%，静置，滤过，滤液回收乙醇，浓缩成稠膏状；黄精、牛膝、谷精草、升麻加水煎煮二次，滤过，合并滤液，浓缩成稠膏状，加入上述稠膏，混匀；干燥，粉碎，加辅料适量制成颗粒，干燥，压制成 100 片，用珍珠层粉包糖衣，即得
安阳固本膏,膏剂,温肾暖宫，活血通络。用于女子宫寒不孕，经前腹痛，月经不调；男子精液稀薄，精子少；腰膝冷痛。,乌药 36g、白芷 36g、木通 36g、当归 36g、赤芍 36g、大黄 36g、续断 36g、椿皮 36g、川牛膝 36g、杜仲 36g、附子 36g、锁阳 36g、红花 36g、巴戟天 36g、艾叶 72g、香附 72g、肉桂 72g、益母草 72g、金樱子 18g、血竭 14.4g、乳香 7.2g、没药 7.2g、儿茶 7.2g,以上二十三味，将乳香、没药、儿茶、血竭共研成细粉，过筛，混匀。其余乌药等十九味酌予碎断，与植物油 2304g 同置锅内炸枯，去渣，滤过，炼至滴水成珠。另取红丹 768g，加入油内搅匀，收膏，将膏浸泡于水中。取膏用文火熔化，将乳香等细粉加入搅匀，摊涂于布上，即得
安神糖浆,糖浆剂,养血安神。用于贫血体虚，头昏，失眠，腰酸，四肢疲乏。,灵芝 50g、白术（炒）100g、女贞子（制）100g、合欢皮 150g、首乌藤 150g、仙鹤草 250g、墨旱莲 100g、甘草 50g,以上八味，灵芝加水煎煮二次，第一次 5 小时，第二次 3 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.05 (90℃)，静置 24 小时，取上清液备用；其余白术等七味，加水煎煮二次，第一次 2 小时，第二次 1.5 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.05 (90℃)，静置 24 小时，取上清液备用。另取蔗糖 264g，加水适量，煮沸溶解后，滤过，与上述两种浓缩液混匀，继续浓缩至相对密度为 1.10 (90℃)，放冷，加入苯甲酸钠 3g，加水稀释至 1000ml，搅匀，即得
安嗽化痰丸,丸剂,清肺化痰，润肺止嗽。用于阴虚肺热引起的咳嗽痰盛，气短喘促，咽干口渴，劳伤久嗽，痰中带血。,浙贝母 144g、知母 288g、玄参 288g、麦冬 288g、百合 288g、苦杏仁（炒）288g、款冬花 864g、紫菀 288g、罂粟壳 576g,以上九味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 80~90g 制成大蜜丸，即得
关节风痛丸,丸剂,祛风，除湿，止痛。用于风湿性筋骨酸痛，关节痛，四肢麻木。,豨莶草 138g、狗脊 104g、伸筋草 104g、秦艽 104g、鸡血藤 70g、防己 104g、老鹳草 70g、桑枝 104g、五加皮 52g、独活 52g,以上十味，将豨莶草、秦艽和独活 26g 粉碎成粗粉，照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），用 70% 乙醇 600ml 作溶剂，缓缓渗漉，收集渗漉液，回收乙醇，浓缩成稠膏；将五加皮、防己和剩余的独活粉碎成细粉，与上述稠膏混匀，干燥，粉碎成细粉。鸡血藤、狗脊和桑枝加水煎煮 3 小时，滤过，药渣与老鹳草、伸筋草加水继续煎煮 3 小时，合并煎液，滤过，滤液浓缩成清膏。取上述粉末，用清膏泛丸，干燥，包糖衣，即得
阳春玉液,口服液,滋肾壮阳，添精补髓，益气健脾。用于肾虚阳衰所引起的性功能减退，阳痿早泄，腰背酸痛，畏寒肢冷，神疲乏力，夜尿多频。,鹿茸 15g、鹿角胶 45g、龟甲 45g、党参 120g、淫羊藿 120g、黄芪 90g、巴戟天 75g、枸杞子 60g、天冬 45g、蛇床子 45g、熟地黄 120g,以上十一味，取鹿茸、龟甲加水煎煮五次，第一、二次每次 2 小时，三至五次每次 1.5 小时，合并煎液，滤过，滤液浓缩至稠膏，加 2 倍量 75% 乙醇充分搅拌，静置过夜，滤过，滤液备用；沉淀物用适量水溶解后，加入鹿角胶，加热烊化，溶液加盐酸调至 pH2.0，加热回流 16 小时，加氢氧化钠溶液调 pH6.8，滤过，滤液备用；其余党参等八味加水煎煮二次，第一次 2.5 小时，第二次 1.5 小时，合并煎液，滤过，滤液浓缩至稠膏，加 2 倍量 80% 乙醇充分搅拌，静置 16 小时，滤过，滤液与上述提取液合并，回收乙醇，浓缩至相对密度为 1.2 (60~65℃测) 的清膏，再加 2 倍量乙醇搅匀，静置 12 小时，滤过，滤液回收乙醇，加水适量，搅匀，静置 4 小时，滤过，滤液与上述水解液合并。另取蜂蜜 400g，加等量水，搅匀，滤过，浓缩至适量，与上述药液混匀，加水使成 1000ml，调 pH 值，即得
如意油,搽剂,驱风，兴奋。适用于伤风鼻塞，局部冻伤。,乳香 500g、防己 380g、细辛 380g、甘草 500g、杏仁 750g、荆芥 500g、桂枝 500g、木香 380g、香附 500g、大黄 500g、薄荷油 5000g、冰片 150.5g、丁香罗勒油 75g、广藿香油 8g,以上十四味，除丁香罗勒油、广藿香油、薄荷油、冰片外，其余乳香等十味用食用植物油 15000g 热浸 15 天，滤过。与上述四味药混匀，静置，取澄清药油，即得
麦味地黄口服液,口服液,滋肾养肺。用于肺肾阴亏，潮热盗汗，咽干咳血，眩晕耳鸣，腰膝酸软，消渴。,麦冬 45g、五味子 30g、熟地黄 120g、山茱萸（制）60g、牡丹皮 45g、山药 60g、茯苓 45g、泽泻 45g,以上八味，加水煎煮二次，每次 2 小时，合并煎液，滤过，滤液浓缩至约 3000ml，放置过夜，取上清液，滤过，滤液继续浓缩至约 900ml，冷藏 24 小时，滤过，滤液加蔗糖 150g，加热煮沸 15 分钟，滤过，加防腐剂适量，加水至 1000ml，搅匀，即得
克银丸,丸剂,清热解毒，祛风止痒。用于皮损基底红，舌基底红，便秘，尿黄属血热风燥型的银屑病。,土茯苓 30g、北豆根 30g、白鲜皮 30g、拳参 10g,以上四味，混匀，取 15g 粉碎成细粉，过筛，混匀。其余 85g 加水煎煮三次，第一次 2 小时，第二次 1 小时，第三次 1 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.40 (50℃测) 的清膏，与上述粉末混匀，干燥，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 60g 与适量水，泛丸，干燥，或加炼蜜 80~90g 制成大蜜丸，即得
更年宁,口服液,疏肝解郁，益气养血，健脾安神。用于更年期引起的心悸气短，烦躁易怒，眩晕失眠，阵热汗出，胸乳胀痛，月经紊乱等症。,柴胡 9g、黄芩 9g、白芍 12g、墨旱莲 12g、人参 3g、党参 9g、郁金 9g、香附（醋炙）12g、当归 12g、薄荷 3g、川芎 6g、玄参 12g、茯苓 9g、法半夏 9g、石菖蒲 9g、牡丹皮 12g、陈皮 9g、干姜 3g、白术（麸炒）9g、丹参 9g、王不留行（炒）9g、女贞子（酒炙）12g,以上二十二味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 55~60g 与适量水，泛丸，干燥；或加炼蜜 120~130g 制成大蜜丸，即得
抗扁桃腺炎合剂,口服液,泻热解毒，清利咽喉。用于急性扁桃腺炎，咽喉炎。,板蓝根 200g、山豆根 100g、连翘 300g、青果 200g、黄芩 200g、大黄 50g、玄参 300g、麦冬 200g,以上八味，加水煎煮二次，第一次 3 小时，第二次 1 小时，滤过，合并滤液，静置 48 小时，取上清液，滤过。减压浓缩至相对密度 1.26~1.30 (50℃测)，加入蔗糖 120g，苯甲酸钠 2.8g，煮沸，滤过，共制成 750ml，灌装，即得
状元丸,丸剂,养心滋肾，健脑安神。用于心肾不足，用脑过度引起的失眠健忘，虚烦多梦，心悸不安，目暗耳鸣，精神疲倦。,熟地黄 90g、地黄 60g、山茱萸（酒炙）120g、天冬 60g、麦冬 60g、玄参 48g、五味子（醋炙）18g、人参 18g、黄芪（蜜炙）90g、白术（麸炒）90g、茯苓 120g、甘草 48g、远志（去心甘草水炙）18g、石菖蒲 18g、当归 90g、丹参 48g、莲子肉 90g、酸枣仁（炒）60g、柏子仁 60g、桔梗 48g、琥珀 48g、朱砂 29.3g,以上二十二味，朱砂水飞或粉碎成极细粉，琥珀研成细粉；其余熟地黄等二十味粉碎成细粉，过筛，混匀，与上述琥珀粉、朱砂粉配研，过筛，混匀。每 100g 粉末加炼蜜 80~90g 制成大蜜丸，即得
肚痛丸,丸剂,温中散寒，理气止痛。用于停寒气滞，腹中冷痛，胸胁胀闷，呕逆吐酸。,豆蔻（去壳）50g、肉桂 50g、枳实（麸炒）100g、木香 100g、乌药 50g、罂粟壳 20g、草果 20g、厚朴（姜制）50g、砂仁 50g、干姜 100g,以上十味，粉碎成细粉，过筛，混匀。用冷开水泛丸，干燥，即得
补肾宁片,片剂,温肾助阳，益气固本。用于肾阳虚衰所致阳痿，对妇女更年期综合症也有一定疗效。,羊鞭 2400g、枸杞子 440g、淫羊藿 640g、肉苁蓉 110g、人参 110g、海马 5g,以上六味，取人参、海马分别粉碎成细粉。另取羊鞭，按流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），用 70% 乙醇作溶剂进行渗漉，合并渗漉液，减压回收乙醇，浓缩至相对密度为 1.15 (80~85℃)，冷藏 24 小时，取下层稠膏，干燥，粉碎成细粉；取枸杞子粉碎成粗粉，按流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），用 60% 乙醇作溶剂进行渗漉，合并渗漉液，减压回收乙醇，浓缩至相对密度 1.20 (85℃)，干燥，粉碎成细粉；取淫羊藿、肉苁蓉分别加水煎煮二次，第一次 3 小时，第二次 2 小时，分别合并煎液，滤过，滤液浓缩至稠膏状，干燥，粉碎成细粉；合并以上各细粉，混匀，制粒，压制成 1000 片，包糖衣，即得
阿胶益寿口服液,口服液,补气养血。用于气血双亏，未老先衰，四肢无力，腰膝酸软，面黄肌瘦，健忘失眠，妇女产后诸虚。,人参 127g、黄芪（蜜炙）1270g、熟地黄 635g、制何首乌 635g、阿胶 317.5g、陈皮 254g、木香 127g、甘草 127g,以上八味，除阿胶外，其余人参等七味加水煎煮三次，第一次、第二次各 2 小时，第三次 1 小时，合并煎液，滤过，滤液浓缩至适量；取阿胶加适量水溶化，滤过，滤液与上述浓缩液合并，取蔗糖 500g 制成糖浆，与上述药液合并，加入防腐剂适量，调整总量为 10000ml，静置，滤过，灌装，即得
坤宝丸,丸剂,滋补肝肾，镇静安神，养血通络。用于妇女更年期综合症，肝肾阴虚引起的月经紊乱，潮热多汗，失眠健忘，心烦易怒，头晕耳鸣，咽干口渴，四肢酸楚，关节疼痛等症。,女贞子（酒炙）30g、覆盆子 20g、菟丝子 20g、枸杞子 20g、何首乌（黑豆酒炙）20g、龟甲 15g、地骨皮 30g、南沙参 30g、麦冬 20g、酸枣仁（炒）10g、地黄 30g、白芍 60g、赤芍 30g、当归 20g、鸡血藤 60g、珍珠母 60g、桑叶 30g、菊花 30g、墨旱莲 40g、白薇 30g、知母 30g、黄芩 30g,以上二十三味，粉碎成细粉，过筛，混匀，每 100g 粉末加炼蜜 42g 及水适量，泛丸，低温干燥，即得
枇杷止咳冲剂,颗粒剂,止嗽化痰。用于咳嗽，支气管炎。,枇杷叶 684g、罂粟壳 500g、百部 150g、白前 90g、桑白皮 60g、桔梗 57g、薄荷脑 1.6g,以上七味，除薄荷脑外，其余枇杷叶等六味，加水煎煮二次，每次 2 小时，合并煎液，滤过，滤液静置 12 小时。滤过，浓缩至适量，加入蔗糖粉，混匀，制粒，干燥；另取薄荷脑及香精适量，用少许乙醇溶解，喷入颗粒中，混匀，制成 3000g，即得
刺五加胶囊,胶囊剂,益气健脾，补肾安神。用于脾肾阳虚，体虚乏力，食欲不振，腰膝酸痛，失眠多梦。,刺五加浸膏 150g（辅料：碳酸钙、淀粉适量）,取刺五加浸膏 150g 与碳酸钙及淀粉适量混匀，干燥，粉碎，过筛，装入胶囊，制成 1000 粒，即得
拔脓净,搽剂,拔脓去腐，生肌止痛。用于疮疡溃后腐肉不脱，痔疮及慢性瘘道。,乳香（制）40g、没药（制）40g、红粉 20g、穿山甲（砂炙）40g,以上四味，乳香、没药、穿山甲共粉碎成细粉，过筛，红粉粉碎成细粉，过筛，与上述粉末混匀，过筛，即得
鸢都寒痹液,口服液,祛风散寒，舒筋活络。用于风寒湿痹，腰腿肩背疼痛，手足麻木等症。,生草乌 112g、当归 112g、老鹳草 112g、生川乌 112g、川芎 56g、红花 20g、桂枝 20g、牛膝 40g、木瓜 40g、威灵仙 40g、香加皮 80g、茜草 80g、千年健 30g、杜仲 24g、地骨皮 30g,以上十五味，粉碎成粗粉，照流浸膏剂与浸膏剂项下渗漉法（附录 17 页），用白酒作溶剂，浸渍 7 天后，进行渗漉，收集渗漉液，加入蔗糖 1800g，搅匀，调整总量至 30000ml，静置，滤过，即得
鸢都感冒冲剂,颗粒剂,清热解表，宣肺止咳。用于风热感冒，头身疼痛，发热恶寒，咽痛咳嗽。,忍冬藤 120g、板蓝根 100g、前胡 60g、葛根 60g、桔梗 60g、甘草 50g、牛蒡子（炒）25g、薄荷脑 0.125g,以上八味，除薄荷脑外，其余忍冬藤等七味加水煎煮两次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.08 (80℃测)；放冷，加入乙醇使含醇量达 40~45%，搅匀，静置，取上清液浓缩至相对密度为 1.35 (30℃测) 的清膏。取清膏 1 份，加蔗糖粉 4 份，糊精 1 份及乙醇适量，制成颗粒，干燥；薄荷脑用乙醇适量溶解后喷入颗粒，混匀，即得
虎骨木瓜丸,丸剂,活血散风，舒筋止痛。用于风寒湿邪引起的四肢疼痛，手足麻木，筋脉拘挛，腰膝无力，步履艰难。,虎骨（油炙）8g、豹骨（油炙）72g、木瓜 80g、海风藤 80g、铁丝威灵仙（酒炙）80g、青风藤 80g、草乌（甘草银花炙）40g、川乌（甘草银花炙）40g、牛膝 160g、白芷 80g、当归 80g、人参 10g、川芎 80g,以上十三味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 40~50g 与适量的水，泛丸，干燥；或加炼蜜 120~130g 制成大蜜丸，即得
肾宁散胶囊,胶囊剂,消炎，利尿，消除浮肿及尿蛋白。用于急慢性肾盂肾炎，肾小球肾炎。,西瓜翠衣 1 个（约重 600g）、紫皮大蒜 500g,选用约重 600g 的黑绿色厚皮西瓜，洗净，在瓜蒂处挖约 15cm×15cm 的方口（方口盖保留备用），去净瓜瓤，留瓜壳。将洗净的紫皮大蒜装入瓜壳内，把方口盖盖在瓜壳开口处；瓜壳外均匀严密地糊一层约 1.5~2cm 厚的麻刀泥（胶泥、麻絮及水混合而成），然后放入炉内，用木柴武火烧炼 4~7 小时，继续用文火烧炼，焖存性，冷却后破泥壳，取出药炭，粉碎过筛，分装于胶囊内，即得
肾炎片,片剂,清热解毒，利水消肿。用于急慢性肾炎和泌尿道感染。,一枝黄花 1080g、马鞭草 270g、白茅根 540g、车前草 540g、葫芦壳 270g、白前 270g,以上六味，加水煎煮二次，每次 2 小时，合并煎液，静置，滤过。滤液浓缩成稠膏状，干燥，制成颗粒，压制成 1000 片，包糖衣，即得
肾康宁片,片剂,温肾，益气，和血，渗湿。用于慢性肾炎，肾气亏损，肾功能不全所引起的腰酸、疲乏、畏寒及夜尿增多。,黄芪 360g、丹参 300g、茯苓 300g、泽泻 180g、益母草 450g、淡附片 180g、锁阳 300g、山药 50g,以上八味，山药粉碎成细粉，其余黄芪等七味加水煎煮二次，第一次 2 小时，第二次 1 小时，合并煎液，滤过，滤液浓缩成稠膏，加入山药细粉，混匀，制成颗粒，干燥，压制成 1000 片，包糖衣，即得
