drug_name,form,indication,prescription_raw
归芍地黄丸,丸剂,滋肝肾，补阴血，清虚热。用于肝肾两亏，阴虚血少，头晕目眩，耳鸣咽干，午后潮热，腰腿酸痛，足跟疼痛。,当归40g酒白芍40g熟地黄160g酒萸肉80g牡丹皮60g山药80g茯苓60g泽泻60g
归脾丸,丸剂,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,党参80g炒白术160g炙黄芪80g炙甘草40g茯苓160g制远志160g炒酸枣仁80g龙眼肉160g当归160g木香40g大枣（去核）40g
归脾丸（水丸）,丸剂,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,党参66g炒白术131g炙黄芪66g炙甘草33g茯苓131g制远志131g炒酸枣仁66g龙眼肉131g当归131g木香33g大枣（去核）33g
归脾丸（浓缩丸）,丸剂,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,党参80g炒白术160g炙黄芪80g炙甘草40g茯苓160g制远志160g炒酸枣仁80g龙眼肉160g当归160g木香40g大枣（去核）40g
归脾合剂,口服液,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,党参68g炒白术136g炙黄芪68g炙甘草34g茯苓136g制远志136g炒酸枣仁68g龙眼肉136g当归136g木香34g大枣（去核）34g生姜17g
归脾颗粒,颗粒剂,益气健脾，养血安神。用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,党参140g炒白术280g炙黄芪140g炙甘草70g茯苓280g制远志280g炒酸枣仁140g龙眼肉280g当归280g木香70g大枣（去核）70g
四方胃片,片剂,调肝和胃，制酸止痛。用于肝胃不和所致的胃脘疼痛、呕吐吞酸、食少便溏；消化不良、胃及十二指肠溃疡见上述证候者。,海螵蛸156g黄连39g浙贝母78g炒川楝子78g苦杏仁39g柿霜39g吴茱萸（盐水制）20g沉香12g醋延胡索39g
四方胃胶囊,胶囊剂,疏肝和胃，制酸止痛。用于肝胃不和所致的胃脘疼痛、呕吐吞酸、食少便溏；消化不良、胃及十二指肠溃疡见上述证候者。,海螵蛸156g黄连39g浙贝母78g炒川楝子78g苦杏仁39g柿霜39g吴茱萸（盐水制）20g沉香12g醋延胡索39g
四正丸,丸剂,祛暑解表，化湿止泻。用于内伤湿滞，外感风寒，头晕身重，恶寒发热，恶心呕吐，饮食无味，腹胀泄泻。,广藿香90g香薷90g紫苏叶90g白芷90g檀香30g木瓜90g法半夏90g厚朴（姜炙）90g大腹皮90g陈皮90g白术（麸炒）90g桔梗90g茯苓90g槟榔30g枳壳（麸炒）90g山楂（炒）30g六神曲（麸炒）90g麦芽（炒）30g白扁豆（去皮）90g甘草90g
四君子丸,丸剂,益气健脾。用于脾胃气虚，胃纳不佳，食少便溏。,党参200g炒白术200g茯苓200g炙甘草100g
四君子颗粒,颗粒剂,益气健脾。用于脾胃气虚，胃纳不佳，食少便溏。,党参200g麸炒白术200g茯苓200g炙甘草100g
四妙丸,丸剂,清热利湿。用于湿热下注所致的痹病，症见足膝红肿、筋骨疼痛。,苍术125g牛膝125g盐黄柏250g薏苡仁250g
四味土木香散,散剂,清瘟解表。用于瘟病初期，发冷发热、头痛咳嗽、咽喉肿痛、胸胁作痛。,土木香200g苦参200g悬钓子木（去粗皮、心）100g山柰50g
四味珍层冰硼滴眼液,洗剂,清热解痉，去翳明目。用于肝阴不足、肝气偏盛所致的不能久视、轻度眼胀、眼痛、青少年远视力下降；青少年假性近视、视力疲劳、轻度青光眼见上述证候者。,珍珠层粉水解液350ml（含总氮0.10g）天然冰片0.50g硼砂1.91g硼酸11.20g
四制香附丸,丸剂,理气和血，补血调经。用于血虚气滞，月经不调，胸腹胀痛。,香附400g熟地黄100g当归（炒）100g川芎100g炒白芍100g炒白术75g泽兰75g陈皮75g关黄柏25g炙甘草25g
四物合剂,口服液,养血调经。用于血虚所致的面色萎黄、头晕眼花、心悸气短及月经不调。,当归250g川芎250g白芍250g熟地黄250g
四物颗粒,颗粒剂,养血调经。用于血虚所致的面色萎黄、头晕眼花、心悸气短及月经不调。,当归625g川芎625g白芍625g熟地黄625g
四物益母丸,丸剂,补血，活血，调经。用于血虚血滞，月经不调。,熟地黄400g当归（酒炒）400g川芎100g白芍（麸炒）100g益母草800g
四季感冒片,片剂,解表清热。用于四季风寒感冒引起的发热头痛，鼻流清涕，咳嗽口干，咽喉疼痛，恶心厌食。,桔梗167g紫苏叶250g陈皮167g荆芥125g大青叶167g连翘167g炙甘草83g醋香附167g防风125g
四季感冒胶囊,胶囊剂,解表清热。用于四季风寒感冒引起的发热头痛，鼻流清涕，咳嗽口干，咽喉疼痛，恶心厌食。,桔梗167g紫苏叶250g陈皮167g荆芥125g大青叶167g连翘167g炙甘草83g醋香附167g防风125g
四逆汤,口服液,温中祛寒，回阳救逆。用于阳虚欲脱，冷汗自出，四肢厥逆，下利清谷，脉微欲绝。,淡附片300g干姜200g炙甘草300g
四神丸,丸剂,温肾散寒，涩肠止泻。用于肾阳不足所致的泄泻，症见肠鸣腹胀、五更溏泻、食少不化、久泻不止、面黄肢冷。,肉豆蔻（煨）200g补骨脂（盐炒）400g五味子（醋制）200g吴茱萸（制）100g大枣（去核）200g
四神片,片剂,温肾散寒，涩肠止泻。用于肾阳不足所致的泄泻，症见肠鸣腹胀、五更溏泻、食少不化、久泻不止、面黄肢冷。,肉豆蔻（煨）189g盐补骨脂377g醋五味子189g制吴茱萸94g大枣（去核）189g干姜94g
生白合剂（生白口服液）,口服液,温肾健脾，补益气血。用于癌症放、化疗引起的白细胞减少属脾肾阳虚，气血不足证候者，症见神疲乏力，少气懒言，畏寒肢冷，纳差便溏，腰膝酸软。,淫羊藿240g补骨脂120g附子（黑顺片）80g枸杞子240g黄芪240g鸡血藤240g茜草240g当归120g芦根240g麦冬120g甘草120g
生发搽剂,搽剂,温经通脉。用于经络阻隔、气血不畅所致的油风，症见头部毛发成片脱落、头皮光亮、无痛痒；斑秃见上述证候者。,闹羊花60g补骨脂60g生姜30g
生血宝合剂,口服液,滋补肝肾，益气生血。用于肝肾不足、气血两虚所致的神疲乏力、腰膝酸软、头晕耳鸣、心悸、气短、失眠、咽干、纳差食少；放、化疗所致的白细胞减少，缺铁性贫血见上述证候者。,制何首乌344g女贞子430.7g桑椹430.7g墨旱莲430.7g白芍344g黄芪344g狗脊344g
生血宝颗粒,颗粒剂,滋补肝肾，益气生血。用于肝肾不足、气血两虚所致的神疲乏力、腰膝酸软、头晕耳鸣、心悸、气短、失眠、咽干、纳差食少；放、化疗所致的白细胞减少，缺铁性贫血见上述证候者。,制何首乌645g女贞子807.5g桑椹807.5g墨旱莲807.5g白芍645g黄芪645g狗脊645g
生脉饮,口服液,益气复脉，养阴生津。用于气阴两亏，心悸气短，脉微自汗。,红参100g麦冬200g五味子100g
生脉胶囊,胶囊剂,益气复脉，养阴生津。用于气阴两亏，心悸气短，脉微自汗。,红参330g麦冬660g五味子330g
代温灸膏,膏剂,温通经脉，散寒镇痛。用于风寒阻络所致的痹病，症见腰背、四肢关节冷痛；寒伤脾胃所致的脘腹冷痛、虚寒泄泻；慢性风湿性关节炎、慢性胃肠炎见上述证候者。,辣椒3800g肉桂750g生姜20000g肉桂油100ml
白带丸,丸剂,清热，除湿，止带。用于湿热下注所致的带下病，症见带下量多、色黄、有味。,黄柏（酒炒）150g椿皮300g白芍100g当归100g醋香附50g
白蚀丸,丸剂,补益肝肾，活血祛瘀，养血驱风。用于肝肾不足、血虚风盛所致的白癜风，症见白斑色乳白、多有对称、边界清楚，病程较久，伴有头晕目眩、腰膝酸痛。,紫草71g灵芝595g降香71g盐补骨脂357g丹参71g红花71g制何首乌595g海螵蛸48g牡丹皮71g黄药子71g苍术（泡）24g甘草48g蒺藜1010g龙胆24g
白蒲黄片,片剂,清热燥湿，解毒凉血。用于大肠湿热、热毒壅盛所致的痢疾、泄泻，症见里急后重、便下脓血；肠炎、痢疾见上述证候者。,白头翁830g蒲公英830g黄芩83g黄柏83g
白癜风胶囊,胶囊剂,活血行滞，祛风解毒。用于经络阻隔、气血不畅所致的白癜风，症见白斑散在分布、色泽苍白、边界较明显。,补骨脂33.33g黄芪33.33g红花33.33g川芎33.33g当归33.33g香附33.33g桃仁33.33g丹参33.33g乌梢蛇33.33g紫草33.33g白鲜皮33.33g山药33.33g干姜33.33g龙胆33.33g蒺藜433.33g
瓜霜退热灵胶囊,胶囊剂,清热解毒，开窍镇惊。用于热病热入心包、肝风内动证，症见高热、惊厥、抽搐、咽喉肿痛。,西瓜霜86.4g北寒水石56g石膏53.2g滑石56g磁石56g玄参16.8g水牛角浓缩粉10.8g羚羊角5.2g甘草8.8g升麻16.8g丁香3.2g沉香5.2g人工麝香1g冰片3.2g朱砂5.2g
乐儿康糖浆,糖浆剂,益气健脾，和中开胃。用于脾胃气虚所致的食欲不振、面黄、身瘦；厌食症、营养不良症见上述证候者。,党参77.3g太子参77.3g黄芪77.3g茯苓51.5g山药77.3g薏苡仁77.3g麦冬77.3g制何首乌77.3g大枣25.8g焦山楂25.8g炒麦芽25.8g陈皮77.3g桑枝206.2g
乐脉丸,丸剂,行气活血，化瘀通脉。用于气滞血瘀所致的头痛、眩晕、胸痛、心悸；冠心病心绞痛、多发性脑梗死见上述证候者。,丹参998g川芎499g赤芍499g红花499g香附249.5g木香249.5g山楂124.8g
乐脉片,片剂,行气活血，化瘀通脉。用于气滞血瘀所致的头痛、眩晕、胸痛、心悸；冠心病心绞痛、多发性脑梗死见上述证候者。,丹参499g川芎249.5g赤芍249.5g红花249.5g香附124.75g木香124.75g山楂62.4g
乐脉胶囊,胶囊剂,行气活血，化瘀通脉。用于气滞血瘀所致的头痛、眩晕、胸痛、心悸；冠心病心绞痛、多发性脑梗死见上述证候者。,丹参499g川芎249.5g赤芍249.5g红花249.5g香附124.75g木香124.75g山楂62.4g
乐脉颗粒,颗粒剂,行气活血，化瘀通脉。用于气滞血瘀所致的头痛、眩晕、胸痛、心悸；冠心病心绞痛、多发性脑梗死见上述证候者。,丹参499g川芎249.5g赤芍249.5g红花249.5g香附124.75g木香124.75g山楂62.4g
外伤如意膏,膏剂,清热解毒，凉血散瘀，消肿止痛，止血生肌。用于跌打损伤，骨折脱臼，筋伤积瘀，皮肉损伤化脓，烫火伤。,紫草120g地榆120g栀子120g大黄120g黄芩120g黄柏120g冰片5g
外感风寒颗粒,颗粒剂,解表散寒，退热止咳。用于风寒感冒，恶寒发热，头痛项强，全身酸疼，鼻塞流清涕，咳嗽，苔薄白，脉浮。,桂枝102g白芷102g防风102g柴胡102g荆芥穗76g羌活76g白芍102g葛根127g桔梗76g苦杏仁（炒）76g甘草25g生姜76g
冬凌草片,片剂,清热解毒，消肿散结，利咽止痛。用于热毒壅盛所致咽喉肿痛、声音嘶哑；扁桃体炎、咽炎、口腔炎见上述证候者及癌症的辅助治疗。,冬凌草3000g
宁神补心片,片剂,养血安神，滋补肝肾。用于肝肾阴血不足所致的头昏、耳鸣、心悸、健忘、失眠。,丹参112.5g地黄75g酒女贞子150g熟地黄112.5g墨旱莲112.5g煅珍珠母750g石菖蒲37.5g首乌藤187.5g合欢皮112.5g五味子56.25g
冯了性风湿跌打药酒,酒剂,祛风除湿，活血止痛。用于风寒湿痹，手足麻木，腰腿酸痛；跌扑损伤，瘀滞肿痛。,丁公藤2500g桂枝75g麻黄93.8g羌活7.5g当归7.5g川芎7.5g白芷7.5g补骨脂7.5g乳香7.5g猪牙皂7.5g陈皮33.1g苍术7.5g厚朴7.5g香附7.5g木香7.5g枳壳50g白术7.5g山药7.5g黄精20g菟丝子7.5g小茴香7.5g苦杏仁7.5g泽泻7.5g五灵脂7.5g蚕沙16.2g牡丹皮7.5g没药7.5g
玄麦甘桔含片,片剂,清热滋阴，祛痰利咽。用于阴虚火旺，虚火上浮，口鼻干燥，咽喉肿痛。,玄参275g麦冬275g甘草275g桔梗275g
玄麦甘桔胶囊,胶囊剂,清热滋阴，祛痰利咽。用于阴虚火旺，虚火上浮，口鼻干燥，咽喉肿痛。,玄参400g麦冬400g甘草400g桔梗400g
玄麦甘桔颗粒,颗粒剂,清热滋阴，祛痰利咽。用于阴虚火旺，虚火上浮，口鼻干燥，咽喉肿痛。,玄参80g麦冬80g甘草80g桔梗80g
半夏天麻丸,丸剂,健脾祛湿，化痰息风。用于脾虚湿盛、痰浊内阻所致的眩晕、头痛、如蒙如裹、胸脘满闷。,法半夏360g天麻180g炙黄芪360g人参30g苍术（米泔炙）36g炒白术80g茯苓126g陈皮360g泽泻36g六神曲（麸炒）69g炒麦芽39g黄柏54g
汉桃叶片,片剂,祛风止痛，舒筋活络。用于三叉神经痛，坐骨神经痛，风湿关节痛。,汉桃叶3000g
加味左金丸,丸剂,平肝降逆，疏郁止痛。用于肝郁化火、肝胃不和引起的胸脘痞闷、急躁易怒、嗳气吞酸、胃痛少食。,姜黄连36g制吴茱萸36g黄芩18g柴胡36g木香18g醋香附72g郁金36g白芍54g醋青皮54g麸炒枳壳54g陈皮54g醋延胡索54g当归54g甘草18g
加味生化颗粒,颗粒剂,活血化瘀，温经止痛。用于瘀血不尽，冲任不固所致的产后恶露不绝，症见恶露不止、色紫暗或有血块、小腹冷痛。,当归266g桃仁266g益母草266g赤芍200g艾叶200g川芎200g炙甘草200g炮姜200g荆芥200g阿胶34g
加味香连丸,丸剂,清热祛湿，化滞止痛。用于大肠湿热所致的痢疾，症见大便脓血、腹痛下坠、里急后重。,木香120g姜黄连180g黄芩120g黄柏（酒炙）60g白芍120g当归60g姜厚朴120g麸炒枳壳120g槟榔60g醋延胡索60g制吴茱萸60g炙甘草30g
加味逍遥口服液（合剂）,口服液,舒肝清热，健脾养血。用于肝郁血虚、肝脾不和所致的两胁胀痛、头晕目眩、倦怠食少、月经不调、脐腹胀痛；更年期综合征见上述证候者。,柴胡64g当归64g白芍64g白术（麸炒）64g茯苓64g牡丹皮96g栀子（姜炙）96g薄荷13g甘草51g生姜21g
加味逍遥丸,丸剂,舒肝清热，健脾养血。用于肝郁血虚，肝脾不和，两胁胀痛，头晕目眩，倦怠食少，月经不调，脐腹胀痛。,柴胡300g当归300g白芍300g白术（麸炒）300g茯苓300g甘草240g牡丹皮450g栀子（姜炙）450g薄荷60g
加味藿香正气合剂（藿香正气合剂）,口服液,解表化湿，理气和中。用于外感风寒，内伤湿滞证，症见头痛昏重、胸膈痞闷、脘腹胀痛、呕吐泄泻；胃肠型感冒见上述证候者。,广藿香150g紫苏叶50g白芷50g炒白术100g陈皮100g姜半夏100g姜厚朴100g茯苓50g桔梗100g甘草100g大腹皮50g大枣25g生姜15g
加味藿香正气软胶囊,软胶囊,解表化湿，理气和中。用于外感风寒，内伤湿滞证，症见头痛昏重、胸膈痞闷、脘腹胀痛、呕吐泄泻；胃肠型感冒见上述证候者。,广藿香326.8g紫苏叶108.9g白芷108.9g炒白术217.9g陈皮217.9g半夏（制）217.9g姜厚朴217.9g茯苓108.9g桔梗217.9g甘草217.9g大腹皮108.9g生姜32.7g大枣54.5g
孕康合剂（孕康口服液）,口服液,健脾固肾，养血安胎。用于肾虚型和气血虚弱型先兆流产和习惯性流产。,山药125g续断75g黄芪100g当归75g狗脊（去毛）100g菟丝子75g桑寄生50g杜仲（炒）75g补骨脂75g党参75g茯苓100g白术（焦）75g阿胶25g地黄100g山茱萸75g枸杞子100g乌梅50g白芍75g砂仁50g益智50g苎麻根75g黄芩50g艾叶8.3g
孕康颗粒,颗粒剂,健脾固肾，养血安胎。用于肾虚型和气血虚弱型先兆流产和习惯性流产。,山药312.5g续断187.5g黄芪250g当归187.5g狗脊（去毛）250g菟丝子187.5g桑寄生125g盐杜仲187.5g补骨脂187.5g党参187.5g茯苓250g炒白术187.5g阿胶62.5g地黄250g山茱萸187.5g枸杞子250g乌梅125g白芍187.5g砂仁125g益智125g苎麻根187.5g黄芩125g艾叶20.8g
老年咳喘片,片剂,补气壮阳，扶正固本。用于老年慢性支气管炎等虚证。,黄芪110g白术66g防风66g甘草44g黄精66g淫羊藿66g补骨脂66g
老鹳草软膏,膏剂,除湿解毒，收敛生肌。用于湿毒蕴结所致的湿疹、痈、疔、疮、疖及小面积水、火烫伤。,老鹳草1000g
地奥心血康胶囊,胶囊剂,活血化瘀，行气止痛，扩张冠脉血管，改善心肌缺血。用于预防和治疗冠心病，心绞痛以及瘀血内阻之胸痹、眩晕、气短、心悸、胸闷或痛。,地奥心血康100g
地榆槐角丸,丸剂,疏风凉血，泻热润燥。用于脏腑实热、大肠火盛所致的肠风便血、痔疮肛瘘、湿热便秘、肛门肿痛。,地榆炭72g蜜槐角108g炒槐花72g大黄36g黄芩72g地黄72g当归36g赤芍36g红花9g防风36g荆芥穗36g麸炒枳壳36g
耳聋丸,丸剂,清肝泻火，利湿通窍。用于肝胆湿热所致的头晕头痛、耳聋耳鸣、耳内流脓。,龙胆500g黄芩500g地黄500g泽泻500g木通500g栀子500g当归500g九节菖蒲500g甘草500g羚羊角25g
耳聋左慈丸,丸剂,滋肾平肝。用于肝肾阴虚，耳鸣耳聋，头晕目眩。,煅磁石20g熟地黄160g山茱萸（制）80g牡丹皮60g山药80g茯苓60g泽泻60g竹叶柴胡20g
芎菊上清丸,丸剂,清热解表，散风止痛。用于外感风邪引起的恶风身热、偏正头痛、鼻流清涕、牙疼喉痛。,川芎20g菊花240g黄芩120g栀子30g炒蔓荆子30g黄连20g薄荷20g连翘30g荆芥穗30g羌活20g藁本20g桔梗30g防风30g甘草20g白芷80g
芎菊上清丸（水丸）,丸剂,清热解表，散风止痛。用于外感风邪引起的恶风身热、偏正头痛、鼻流清涕、牙疼喉痛。,川芎20g菊花240g黄芩120g栀子30g炒蔓荆子30g黄连20g薄荷20g连翘30g荆芥穗30g羌活20g藁本20g桔梗30g防风30g甘草20g白芷80g
芎菊上清片,片剂,清热解表，散风止痛。用于外感风邪引起的恶风身热、偏正头痛、鼻流清涕、牙疼喉痛。,川芎40g菊花480g黄芩240g栀子60g炒蔓荆子60g黄连40g薄荷40g连翘60g荆芥穗60g羌活40g藁本40g桔梗60g防风60g甘草40g白芷160g
朴沉化郁丸,丸剂,疏肝解郁，开胃消食。用于肝气郁滞、肝胃不和所致的胃脘刺痛、胸腹胀满、恶心呕吐、停食停水、气滞闷郁。,醋香附150g醋延胡索35g麸炒枳壳50g檀香35g木香35g片姜黄15g柴胡35g姜厚朴75g丁香35g沉香35g高良姜25g醋青皮35g陈皮100g甘草35g豆蔻35g醋莪术25g砂仁35g肉桂15g
再造生血片,片剂,补肝益肾，补气养血。用于肝肾不足、气血两虚所致的血虚虚劳，症见心悸气短、头晕目眩、倦怠乏力、腰膝酸软、面色苍白、唇甲色淡或伴出血；再生障碍性贫血、缺铁性贫血见上述证候者。,菟丝子（酒制）85g红参25.5g鸡血藤59.5g阿胶25.5g当归42.5g女贞子25.5g黄芪42.5g益母草25.5g熟地黄42.5g白芍25.5g制何首乌42.5g淫羊藿25.5g黄精（酒制）34g鹿茸（去毛）2.55g党参34g麦冬25.5g仙鹤草34g白术（炒）25.5g补骨脂（盐制）25.5g枸杞子34g墨旱莲25.5g
再造生血胶囊,胶囊剂,补肝益肾，补气养血。用于肝肾不足，气血两虚所致的血虚虚劳，症见心悸气短、头晕目眩、倦怠乏力、腰膝酸软、面色苍白、唇甲色淡或伴出血；再生障碍性贫血、缺铁性贫血见上述证候者。,菟丝子（酒制）85g红参（去芦）25.5g鸡血藤59.5g阿胶25.5g当归42.5g女贞子25.5g黄芪42.5g益母草25.5g熟地黄42.5g白芍25.5g制何首乌42.5g淫羊藿25.5g酒黄精34g鹿茸（去毛）2.55g党参34g麦冬25.5g仙鹤草34g麸炒白术25.5g盐补骨脂25.5g枸杞子34g墨旱莲25.5g
西瓜霜润喉片,片剂,清音利咽，消肿止痛。用于防治咽喉肿痛，声音嘶哑，喉痹，喉痈，喉蛾，口糜，口舌生疮，牙痈；急、慢性咽喉炎，急性扁桃体炎，口腔溃疡，口腔炎，牙龈肿痛。,西瓜霜20g冰片0.6g薄荷素油1g薄荷脑1.2g
西汉养生口服液,口服液,滋补肝肾，健脑安神。用于肝肾亏损所致的头晕头昏，健忘失眠，腰膝酸软，夜尿频作。,覆盆子120g菟丝子120g枸杞子120g金樱子120g女贞子120g黄芪150g丹参120g白芍120g炙甘草50g制何首乌150g淫羊藿240g肉桂10g
西青果茶,茶剂,清热，利咽，生津。用于阴虚内热、伤津所致咽干、咽痛、咽部充血；慢性咽炎、慢性扁桃体炎见上述证候者。,西青果5000g
西青果颗粒,颗粒剂,清热，利咽，生津。用于阴虚内热伤津所致咽干、咽痛、咽部充血；慢性咽炎、慢性扁桃体炎见上述证候者。,西青果333.3g
西黄丸,丸剂,清热解毒，消肿散结。用于热毒壅结所致的痈疽疔毒、瘰疬，流注、癌肿。,牛黄或体外培育牛黄15g麝香或人工麝香15g醋乳香550g醋没药550g
百合固金口服液,口服液,养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，痰中带血，咽干喉痛。,百合23g地黄46g熟地黄69g麦冬34g玄参18g川贝母23g当归23g白芍23g桔梗18g甘草23g
百合固金丸,丸剂,养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，痰中带血，咽干喉痛。,百合100g地黄200g熟地黄300g麦冬150g玄参80g川贝母100g当归100g白芍100g桔梗80g甘草100g
百合固金丸（浓缩丸）,丸剂,养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，痰中带血，咽干喉痛。,百合100g地黄200g熟地黄300g麦冬150g玄参80g川贝母100g当归100g白芍100g桔梗80g甘草100g
百合固金片,片剂,养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，痰中带血，咽干喉痛。,百合45.8g地黄91.6g熟地黄137.4g麦冬68.7g玄参36.6g川贝母45.8g当归45.8g白芍45.8g桔梗36.6g甘草45.8g
百合固金颗粒,颗粒剂,养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，痰中带血，咽干喉痛。,百合25.4g地黄50.8g熟地黄76.3g麦冬38.1g玄参20.3g川贝母25.4g当归25.4g白芍25.4g桔梗20.3g甘草25.4g
百咳静糖浆,糖浆剂,清热化痰，止咳平喘。用于外感风热所致的咳嗽、咯痰；感冒，急、慢性支气管炎，百日咳见上述证候者。,陈皮96g麦冬48g前胡48g炒苦杏仁48g清半夏48g黄芩96g蜜百部72g黄柏96g桑白皮48g甘草48g蜜麻黄48g炒葶苈子48g炒紫苏子48g炒天南星32g桔梗48g瓜蒌子（炒）48g
达立通颗粒,颗粒剂,清热解郁，和胃降逆，通利消滞。用于肝胃郁热所致痞满证，症见胃脘胀满、嗳气、纳差、胃中灼热、嘈杂泛酸、脘腹疼痛、口干口苦；动力障碍型功能性消化不良见上述症状者。,柴胡154g枳实154g木香154g陈皮154g清半夏154g蒲公英231g焦山楂154g焦槟榔92g鸡矢藤154g党参92g延胡索92g六神曲（炒）154g
当飞利肝宁胶囊,胶囊剂,清利湿热，益肝退黄。用于湿热郁蒸而致的黄疸，急性黄疸型肝炎，传染性肝炎，慢性肝炎而见湿热证候者。另还可用于非酒精性单纯性脂肪肝湿热内蕴证者，症见脘腹痞闷、口干口苦、右肋胀痛或不适、身重困倦、恶心、大便秘结、小便黄、舌质红苔黄腻，脉滑数。,水飞蓟900g当药950g
当归龙荟丸,丸剂,泻火通便。用于肝胆火旺，心烦不宁，头晕目眩，耳鸣耳聋，胁肋疼痛，脘腹胀痛，大便秘结。,酒当归100g龙胆（酒炙）100g芦荟50g青黛50g栀子100g酒黄连100g酒黄芩100g盐黄柏100g酒大黄50g木香25g人工麝香5g
当归补血口服液,口服液,补养气血。用于气血两虚证。,当归132g黄芪330g
当归拈痛丸,丸剂,清热利湿，祛风止痛。用于湿热闭阻所致的痹病，症见关节红肿热痛或足胫红肿热痛；亦可用于疮疡。,当归40g粉葛40g党参40g苍术（炒）40g升麻40g苦参40g泽泻60g炒白术60g知母60g防风60g羌活100g黄芩100g猪苓100g茵陈100g甘草100g
当归养血丸,丸剂,益气养血调经。用于气血两虚所致的月经不调，症见月经提前、经血量少或量多、经期延长、肢体乏力。,当归150g白芍（炒）150g地黄400g炙黄芪150g阿胶150g牡丹皮100g香附（制）150g茯苓150g杜仲（炒）200g白术（炒）200g
当归调经颗粒,颗粒剂,补血助气，调经。用于贫血衰弱，病后、产后血虚以及月经不调，痛经。,当归300g熟地黄20g川芎10g党参20g白芍20g甘草10g黄芪20g
仲景胃灵丸,丸剂,温中散寒，健胃止痛。用于脾胃虚弱，食欲不振，寒凝胃痛，脘腹胀满，呕吐酸水或清水。,肉桂277.8g延胡索208.3g牡蛎208.3g小茴香104.2g砂仁69.4g高良姜34.7g白芍388.9g炙甘草277.8g
伤疖膏,膏剂,清热解毒，消肿止痛。用于热毒蕴结肌肤所致的疮疡，症见红、肿、热、痛、未溃破。亦用于乳腺炎、静脉炎及其他皮肤创伤。,黄芩300g连翘200g生天南星100g白芷100g冰片120g薄荷脑60g水杨酸甲酯30g
伤科接骨片,片剂,活血化瘀，消肿止痛，舒筋壮骨。用于跌打损伤，闪腰岔气，筋伤骨折，瘀血肿痛。,红花12g土鳖虫40g朱砂10g马钱子粉20g炙没药4g三七80g炙海星40g炙鸡骨40g冰片2g煅自然铜20g炙乳香4g甜瓜子4g
伤痛宁片,片剂,散瘀止痛。用于跌打损伤，闪腰挫气，症见皮肤青紫、瘀斑、肿胀、疼痛、活动受限。,制乳香6.5g制没药6.5g甘松6.5g醋延胡索13g细辛13g醋香附65g山柰65g白芷104g
伤湿止痛膏,膏剂,祛风湿，活血止痛。用于风湿性关节炎，肌肉疼痛，关节肿痛。,伤湿止痛流浸膏50g水杨酸甲酯15g薄荷脑10g冰片10g樟脑20g芸香浸膏12.5g颠茄流浸膏30g
血府逐瘀口服液,口服液,活血祛瘀，行气止痛。用于气滞血瘀所致的胸痹、头痛日久、痛如针刺而有定处、内热烦闷、心悸失眠、急躁易怒。,柴胡17g当归50g地黄50g赤芍33g红花50g桃仁67g麸炒枳壳33g甘草17g川芎25g牛膝50g桔梗25g
血府逐瘀丸,丸剂,活血祛瘀，行气止痛。用于气滞血瘀所致的胸痛、头痛日久、痛如针刺而有定处、内热烦闷、心悸失眠、急躁易怒。,柴胡50g当归150g地黄150g赤芍100g红花150g桃仁200g麸炒枳壳100g甘草50g川芎75g牛膝150g桔梗75g
血府逐瘀胶囊,胶囊剂,活血祛瘀，行气止痛。用于气滞血瘀所致的胸痹、头痛日久、痛如针刺而有定处、内热烦闷、心悸失眠、急躁易怒。,柴胡27g当归81g地黄81g赤芍54g红花81g炒桃仁108g麸炒枳壳54g甘草27g川芎40g牛膝81g桔梗40g
血美安胶囊,胶囊剂,清热养阴，凉血活血。用于原发性血小板减少性紫癜血热伤阴挟瘀证，症见皮肤紫癜、齿衄、鼻衄、妇女月经过多、口渴、烦热、盗汗。,猪蹄甲109g地黄60g赤芍50g牡丹皮50g
血栓心脉宁片,片剂,益气活血，开窍止痛。用于气虚血瘀所致的中风、胸痹，症见头晕目眩、半身不遂、胸闷心痛、心悸气短；缺血性中风恢复期、冠心病心绞痛见上述证候者。,川芎500g槐花250g丹参500g水蛭125g毛冬青250g人工牛黄12.5g人工麝香1.25g人参茎叶总皂苷25g冰片2.5g蟾酥1.25g
