drug_name,form,indication
复方仙鹤草肠炎胶囊,胶囊剂,清热燥湿，健脾止泻。用于脾虚湿热内蕴所致的泄泻急迫、泻而不爽，或大便溏泻、食少倦怠、腹胀腹痛；急、慢性肠炎见上述证候者。
复方瓜子金颗粒,颗粒剂,清热利咽，散结止痛，祛痰止咳。用于风热袭肺或痰热壅肺所致的咽部红肿、咽痛、发热、咳嗽；急性咽炎、慢性咽炎急性发作及上呼吸道感染见上述证候者。
复方血栓通胶囊,胶囊剂,活血化瘀，益气养阴。用于血瘀兼气阴两虚证的视网膜静脉阻塞，症见视力下降或视觉异常、眼底瘀血征象、神疲乏力、咽干、口干；以及用于血瘀兼气阴两虚的稳定性劳累型心绞痛，症见胸闷、胸痛、心悸、心慌、气短、乏力、心烦、口干。
复方羊角片,片剂,平肝熄风，通络止痛。用于肝风上扰，瘀血阻络所致偏头痛，紧张性头痛。
复方芩兰口服液,口服液,辛凉解表，清热解毒。用于外感风热引起的发热、咳嗽、咽痛。
复方杏香兔耳风颗粒,颗粒剂,清热化湿，祛瘀生新。用于湿热下注所致的带下，症见带下量多、色黄，小腹隐痛；宫颈糜烂、阴道炎、慢性盆腔炎见上述证候者。
复方扶芳藤合剂,口服液,益气补血，健脾养心。用于气血不足，心脾两虚，症见气短胸闷、少气懒言、神疲乏力、自汗、心悸健忘、失眠多梦、面色不华、纳谷不馨、脘腹胀满、大便溏软、舌淡胖或有齿痕、脉细弱；神经衰弱、白细胞减少症见上述证候者。
复方陈香胃片,片剂,行气和胃，制酸止痛。用于脾胃气滞所致的胃脘疼痛、脘腹痞满、嗳气吞酸；胃及十二指肠溃疡、慢性胃炎见上述证候者。
复方青黛丸,丸剂,清热凉血，解毒消斑。用于血热所致的白疕、血风疮，症见皮疹色鲜红、筛状出血明显、鳞屑多、瘙痒明显，或皮疹为圆形、椭圆形红斑，上附糠粃状鳞屑，有母斑；银屑病进行期、玫瑰糠疹见上述证候者。
复方苦参肠炎康片,片剂,清热燥湿止泻。用于湿热泄泻，症见泄泻急迫或泻而不爽、肛门灼热、腹痛、小便短赤；急性胃肠炎见上述证候者。
复方金钱草颗粒,颗粒剂,清热利湿，通淋排石。用于湿热下注所致的热淋、石淋，症见尿频、尿急、尿痛、腰痛；泌尿系结石、尿路感染见上述证候者。
复方金黄连颗粒,颗粒剂,清热疏风，解毒利咽。用于风热感冒，症见发热、恶风、头痛、鼻塞、流浊涕、咳嗽、咽痛。
复方鱼腥草片,片剂,清热解毒。用于外感风热所致的急喉痹、急乳蛾，症见咽部红肿、咽痛；急性咽炎、急性扁桃体炎见上述证候者。
复方鱼腥草合剂,口服液,清热解毒。用于外感风热所致的急喉痹、急乳蛾，症见咽部红肿、咽痛；急性咽炎、急性扁桃体炎见上述证候者。
复方鱼腥草糖浆,糖浆剂,清热解毒。用于外感风热所致的急喉痹、急乳蛾，症见咽部红肿、咽痛；急性咽炎、急性扁桃体炎见上述证候者。
复方珍珠口疮颗粒,颗粒剂,燥湿，生肌止痛。用于心脾湿热证口疮，症见口疮，周围红肿，中间凹陷，表面黄白，灼热疼痛，口干，口臭，舌红；复发性口腔溃疡见上述证候者。
复方珍珠散,散剂,收湿敛疮，生肌长肉。用于热毒蕴结所致的溃疡，症见疮面鲜活、脓腐将尽。
复方珍珠暗疮片,片剂,清热解毒，凉血消斑。用于血热蕴阻肌肤所致的粉刺、湿疮，症见颜面部红斑、粉刺疙瘩、脓疱，或皮肤红斑丘疹、瘙痒；痤疮、红斑丘疹性湿疹见上述证候者。
复方草珊瑚含片,片剂,疏风清热，消肿止痛，清利咽喉。用于外感风热所致的喉痹，症见咽喉肿痛、声哑失音；急性咽喉炎见上述证候者。
复方牵正膏,膏剂,祛风活血，舒经活络。用于风邪中络，口眼歪斜，肌肉麻木，筋骨疼痛。
复方夏天无片,片剂,祛风逐湿，舒筋活络，行血止痛。用于风湿瘀血阻滞，经络不通引起的关节肿痛、肢体麻木、屈伸不利、步履艰难；风湿性关节炎、坐骨神经痛、脑血栓形成后遗症及小儿麻痹后遗症见上述证候者。
复方益母草胶囊,胶囊剂,调经活血，祛瘀生新。用于瘀血所致月经过多、过少及经期延长，产后子宫复旧不全引起的恶露不绝。
复方益肝丸,丸剂,清热利湿，疏肝理脾，化瘀散结。用于湿热毒蕴所致的胁肋胀痛、黄疸、口干口苦、苔黄脉弦；急、慢性肝炎见上述证候者。
复方益肝灵胶囊,胶囊剂,益肝滋肾，解毒祛湿。用于肝肾阴虚，湿毒未清所致的胁痛，症见胁痛、纳差、腹胀、腰酸乏力、尿黄；慢性肝炎见上述证候者。
复方消食茶,茶剂,健脾利湿，开胃导滞。用于脾虚食滞，食欲不振，便溏消瘦。
复方黄连素片,片剂,清热燥湿，行气止痛，止痢止泻。用于大肠湿热，赤白下痢，里急后重或暴注下泻，肛门灼热；肠炎、痢疾见上述证候者。
复方黄柏液涂剂,搽剂,清热解毒，消肿祛腐。用于疮疡溃后，伤口感染，属阳证者。
复方羚角降压片,片剂,平肝泄热。用于肝火上炎、肝阳上亢所致的头晕、头胀、头痛、耳鸣；高血压病见上述证候者。
复方蛤青片,片剂,补气敛肺，止咳平喘，温化痰饮。用于肺虚咳嗽，气喘痰多；老年慢性气管炎、肺气肿、喘息性支气管炎见上述证候者。
复方满山红糖浆,糖浆剂,止咳，祛痰，平喘。用于痰浊阻肺引起的咳嗽，痰多，喘息；急、慢性支气管炎见上述证候者。
复方滇鸡血藤膏,膏剂,活血养血，益肾。用于瘀血阻络、肾失所养所致的月经不调，症见经水后错、经量少、有血块，腰酸、小腹下坠、手足麻木、关节酸痛。
复方鲜竹沥液,口服液,清热化痰，止咳。用于痰热咳嗽，痰黄黏稠。
复方熊胆滴眼液,洗剂,清热降火，退翳明目。用于肝火上炎、热毒伤络所致的白睛红赤、眵多、羞明流泪；急性细菌性结膜炎、流行性角结膜炎见上述证候者。
复芪止汗颗粒,颗粒剂,益气，固表，敛汗。用于气虚不固，多汗，倦怠，乏力。
复明片,片剂,滋补肝肾，养阴生津，清肝明目。用于肝肾阴虚所致的羞明畏光、视物模糊；青光眼，初、中期白内障见上述证候者。
复脉定胶囊,胶囊剂,补气活血，宁心安神。用于气虚血瘀所致的怔忡、心悸、脉结代；轻、中度房性早搏或室性早搏见有上述证候者。
便通片,片剂,健脾益肾，润肠通便。用于脾肾不足，肠腑气滞所致的便秘。症见：大便秘结或排便乏力，神疲气短，头晕目眩，腰膝酸软；习惯性便秘，肛周疾患所引起的便秘见上述证候者。
便通胶囊,胶囊剂,健脾益肾，润肠通便。用于脾肾不足，肠腑气滞所致的便秘。症见：大便秘结或排便乏力，神疲气短，头晕目眩，腰膝酸软；习惯性便秘，肛周疾患所引起的便秘见上述证候者。
保心片,片剂,滋补肝肾，活血化瘀。用于肝肾不足、瘀血内停所致的胸痹，症见胸闷、心前区刺痛；冠心病心绞痛见上述证候者。
保妇康栓,栓剂,行气破瘀，生肌止痛。用于湿热瘀滞所致的带下病，症见带下量多、色黄、时有阴部瘙痒；霉菌性阴道炎、老年性阴道炎、宫颈糜烂见上述证候者。
保赤散,散剂,消食导滞，化痰镇惊。用于小儿冷积，停乳停食，大便秘结，腹部胀满，痰多。
保和丸,丸剂,消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
保和丸（水丸）,丸剂,消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
保和片,片剂,消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
保和颗粒,颗粒剂,消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
保胎丸,丸剂,益气养血，补肾安胎。用于气血不足、肾气不固所致的胎漏、胎动不安，症见小腹坠痛，或见阴道少量出血，或屡经流产，伴神疲乏力、腰膝酸软。
保济口服液,口服液,解表，祛湿，和中。用于暑湿感冒，症见发热头痛、腹痛腹泻、恶心呕吐、肠胃不适；亦可用于晕车晕船。
保济丸,丸剂,解表，祛湿，和中。用于暑湿感冒，症见发热头痛、腹痛腹泻、恶心呕吐、肠胃不适；亦可用于晕车晕船。
恒古骨伤愈合剂,口服液,活血益气、补肝肾、接骨续筋、消肿止痛、促进骨折愈合。用于新鲜骨折及陈旧骨折、股骨头坏死、骨关节病、腰椎间盘突出症。
恒制咳喘胶囊,胶囊剂,益气温阳，燥湿化痰，降气平喘。用于阳虚痰阻所致的咳嗽痰喘，胸脘满闷，倦怠乏力。
追风透骨丸,丸剂,祛风除湿，通经活络，散寒止痛。用于风寒湿痹，肢节疼痛，肢体麻木。
胆石通胶囊,胶囊剂,清热利湿，利胆排石。用于肝胆湿热所致的胁痛、胆胀，症见右胁胀痛、痞满呕恶、尿黄口苦；胆石症、胆囊炎见上述证候者。
胆乐胶囊,胶囊剂,理气止痛，利胆排石。用于肝郁气滞所致的胁痛、胆胀，症见胁肋胀痛、纳呆尿黄；慢性胆囊炎、胆石症见上述证候者。
胆宁片,片剂,疏肝利胆，清热通下。用于肝郁气滞、湿热未清所致的右上腹隐隐作痛、食入作胀、胃纳不香、嗳气、便秘；慢性胆囊炎见上述证候者。
胆康胶囊,胶囊剂,舒肝利胆，清热解毒，理气止痛。用于急、慢性胆囊炎，胆道结石。
脉络舒通丸,丸剂,清热解毒，化瘀通络，祛湿消肿。用于湿热瘀阻脉络所致的血栓性浅静脉炎，非急性期深静脉血栓形成所致的下肢肢体肿胀、疼痛、肤色暗红或伴有条索状物。
脉络舒通颗粒,颗粒剂,清热解毒，化瘀通络，祛湿消肿。用于湿热瘀阻脉络所致的血栓性浅静脉炎，非急性期深静脉血栓形成所致的下肢肢体肿胀、疼痛、肤色暗红或伴有条索状物。
脉管复康片,片剂,活血化瘀、通经活络。用于瘀血阻滞、脉络不通引起的脉管炎、硬皮病、动脉硬化性下肢血管闭塞症，对冠心病、脑血栓后遗症属上述证候者也有一定治疗作用。
独一味片,片剂,活血止痛，化瘀止血。用于多种外科手术后的刀口疼痛、出血，外伤骨折，筋骨扭伤，风湿痹痛以及崩漏、痛经、牙龈肿痛、出血。
独一味胶囊,胶囊剂,活血止痛，化瘀止血。用于多种外科手术后的刀口疼痛、出血，外伤骨折，筋骨扭伤，风湿痹痛以及崩漏、痛经、牙龈肿痛、出血。
独圣活血片,片剂,活血消肿，理气止痛。用于跌打损伤，瘀血肿胀及气滞血瘀所致的痛经。
独活寄生丸,丸剂,养血舒筋，祛风除湿，补益肝肾。用于风寒湿闭阻、肝肾两亏、气血不足所致的痹病，症见腰膝冷痛、屈伸不利。
独活寄生合剂,口服液,养血舒筋，祛风除湿，补益肝肾。用于风寒湿闭阻、肝肾两亏、气血不足所致的痹病，症见腰膝冷痛、屈伸不利。
急支颗粒,颗粒剂,清热化痰，宣肺止咳。用于外感风热所致的咳嗽，症见发热、恶寒、胸膈满闷、咳嗽咽痛；急性支气管炎、慢性支气管炎急性发作见上述证候者。
急支糖浆,糖浆剂,清热化痰，宣肺止咳。用于外感风热所致的咳嗽，症见发热、恶寒、胸膈满闷、咳嗽咽痛；急性支气管炎、慢性支气管炎急性发作见上述证候者。
养心氏片,片剂,益气活血，化瘀止痛。用于气虚血瘀所致的胸痹，症见心悸气短、胸闷、心前区刺痛；冠心病、心绞痛见于上述证候者。
养心生脉颗粒,颗粒剂,益气养阴，活血祛瘀。用于气虚阴亏血瘀所致的胸痹心痛，症见胸闷、胸痛、心悸、气短、乏力、口干咽燥；冠心病心绞痛见上述证候者。
养心定悸口服液,口服液,养血益气，复脉定悸。用于气虚血少，心悸气短，心律不齐，盗汗失眠，咽干舌燥，大便干结。
养心定悸膏,膏剂,养血益气，复脉定悸。用于气虚血少，心悸气短，心律不齐，盗汗失眠，咽干舌燥，大便干结。
养正消积胶囊,胶囊剂,健脾益肾、化瘀解毒。适用于不宜手术的脾肾两虚、瘀毒内阻型原发性肝癌辅助治疗，与肝内动脉介入灌注加栓塞化疗合用，有助于提高介入化疗疗效、减轻对白细胞、肝功能、血红蛋白的毒性作用，改善患者生存质量、改善脘腹胀满、纳呆食少、神疲乏力、腰膝酸软、溲赤便溏、疼痛。
养血生发胶囊,胶囊剂,养血祛风，益肾填精。用于血虚风盛、肾精不足所致的脱发，症见毛发松动或呈稀疏状脱落、毛发干燥或油腻、头皮瘙痒；斑秃、全秃、脂溢性脱发与病后、产后脱发见上述证候者。
养血当归胶囊,胶囊剂,补气养血，调经。用于气血两虚所致的月经不调，月经量少，行经腹痛及产后血虚，或见面黄肌瘦、贫血。
养血当归糖浆,糖浆剂,补气养血，调经。用于气血两虚所致的月经不调，月经量少，行经腹痛及产后血虚，或见面黄肌瘦、贫血。
养血饮口服液,口服液,补气养血，益肾助脾。用于气血两亏，崩漏下血，体虚羸弱，血小板减少及贫血，对放疗和化疗后引起的白细胞减少症有一定的治疗作用。
养血荣筋丸,丸剂,养血荣筋，祛风通络。用于陈旧性跌打损伤，症见筋骨疼痛、肢体麻木、肌肉萎缩、关节不利。
养血清脑丸,丸剂,养血平肝，活血通络。用于血虚肝旺所致的头痛眩晕、心烦易怒、失眠多梦。
养血清脑颗粒,颗粒剂,养血平肝，活血通络。用于血虚肝旺所致的头痛眩晕、心烦易怒、失眠多梦。
养阴生血合剂,口服液,养阴清热，益气生血。用于阴虚内热、气血不足所致的口干咽燥、食欲减退、倦怠无力；有助于减轻肿瘤患者白细胞下降，改善免疫功能，用于肿瘤患者放疗时见上述证候者。
养阴降糖片,片剂,养阴益气，清热活血。用于气阴不足、内热消渴，症见烦热口渴、多食多饮、倦怠乏力；2型糖尿病见上述证候者。
养阴清肺丸,丸剂,养阴润燥，清肺利咽。用于阴虚肺燥，咽喉干痛，干咳少痰或痰中带血。
养阴清肺口服液,口服液,养阴润肺，清肺利咽。用于阴虚肺燥，咽喉干痛，干咳少痰，或痰中带血。
养阴清肺膏,膏剂,养阴润燥，清肺利咽。用于阴虚肺燥，咽喉干痛，干咳少痰或痰中带血。
养胃颗粒,颗粒剂,养胃健脾，理气和中。用于脾虚气滞所致的胃痛，症见胃脘不舒、胀满疼痛、嗳气食少；慢性萎缩性胃炎见上述证候者。
前列欣胶囊,胶囊剂,活血化瘀，清热利湿。用于瘀血凝聚、湿热下注所致的淋证，症见尿急、尿痛、排尿不畅、滴沥不净；慢性前列腺炎、前列腺增生见上述证候者。
前列通片,片剂,清利湿浊，化瘀散结。用于热瘀蕴结下焦所致的轻、中度癃闭，症见排尿不畅、尿流变细、小便频数，可伴尿急、尿痛或腰痛；前列腺炎和前列腺增生见上述证候者。
前列舒丸,丸剂,扶正固本，益肾利尿。用于肾虚所致的淋证，症见尿频、尿急、排尿滴沥不尽；慢性前列腺炎及前列腺增生症见上述证候者。
首乌丸,丸剂,补肝肾，强筋骨，乌须发。用于肝肾两虚，头晕目花，耳鸣，腰酸肢麻，须发早白；亦用于高脂血症。
洁白丸,丸剂,健脾和胃，止痛止吐，分清泌浊。用于胸腹胀满，胃脘疼痛，消化不良，呕逆泄泻，小便不利。
活力苏口服液,口服液,益气补血，滋养肝肾。用于年老体弱，精神萎靡，失眠健忘，眼花耳聋，脱发或头发早白属气血不足，肝肾亏虚者。
活血止痛软胶囊,软胶囊,活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。
活血止痛胶囊,胶囊剂,活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。
活血止痛散,散剂,活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。
活血止痛膏,膏剂,活血止痛，舒筋通络。用于筋骨疼痛，肌肉麻痹，痰核流注，关节酸痛。
活血壮筋丸,丸剂,祛风活血，强腰壮筋。用于筋骨疼痛，周身麻木，半身不遂，口歪眼斜。
活血通脉片,片剂,行气活血，通脉止痛。用于冠心病心绞痛气滞血瘀证。
济生肾气丸,丸剂,温肾化气，利水消肿。用于肾阳不足、水湿内停所致的肾虚水肿、腰膝酸重、小便不利、痰饮咳喘。
洋参保肺丸,丸剂,滋阴补肺，止嗽定喘。用于阴虚肺热，咳嗽痰喘，胸闷气短，口燥咽干，睡卧不安。
津力达颗粒,颗粒剂,益气养阴，健脾运津。用于2型糖尿病气阴两虚证，症见：口渴多饮，消谷易饥，尿多，形体渐瘦，倦怠乏力，自汗盗汗，五心烦热，便秘等。
宣肺止嗽合剂,口服液,疏风宣肺，止咳化痰。用于咳嗽属风邪犯肺证，症见咳嗽、咽痒、鼻塞流涕、恶寒发热、咯痰。
宫宁颗粒,颗粒剂,化瘀清热，固经止血。用于瘀热所致的月经过多、经期延长；放置宫内节育器后引起的子宫异常出血见上述证候者。
宫血宁胶囊,胶囊剂,凉血止血，清热除湿，化瘀止痛。用于崩漏下血，月经过多，产后或流产后宫缩不良出血及子宫功能性出血属血热妄行证者，以及慢性盆腔炎之湿热瘀结所致的少腹痛、腰骶痛、带下增多。
宫炎平片,片剂,清热利湿，祛瘀止痛，收敛止带。用于湿热瘀阻所致带下病，症见小腹隐痛，经色紫暗、有块，带下色黄质稠；慢性盆腔炎见上述证候者。
宫炎平滴丸,滴丸,清热利湿，祛瘀止痛，收敛止带。用于湿热瘀阻所致带下病，症见小腹隐痛，经色紫暗、有块，带下色黄质稠；慢性盆腔炎见上述证候者。
宫瘤清片,片剂,活血逐瘀，消癥破积。用于瘀血内停所致的妇女癥瘕，症见小腹胀痛、经色紫黯有块、经行不爽；子宫肌瘤见上述证候者。
宫瘤清胶囊,胶囊剂,活血逐瘀，消癥破积。用于瘀血内停所致的妇女癥瘕，症见小腹胀痛、经色紫暗有块、经行不爽；子宫肌瘤见上述证候者。
穿心莲内酯滴丸,滴丸,清热解毒，抗菌消炎。用于上呼吸道感染，细菌性痢疾。
穿心莲片,片剂,清热解毒，凉血消肿。用于邪毒内盛，感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，毒蛇咬伤。
穿心莲胶囊,胶囊剂,清热解毒，凉血消肿。用于邪毒内盛，感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，毒蛇咬伤。
穿龙骨刺片,片剂,补肾健骨，活血止痛。用于肾虚血瘀所致的骨性关节炎，症见关节疼痛。
冠心丹参片,片剂,活血化瘀，理气止痛。用于气滞血瘀所致的胸闷、胸痹、心悸、气短；冠心病见上述证候者。
冠心丹参胶囊,胶囊剂,活血化瘀，理气止痛。用于气滞血瘀所致的胸痹，症见胸闷刺痛、心悸气短；冠心病心绞痛见上述证候者。
冠心生脉口服液,口服液,益气生津，活血通脉。用于气阴不足，心脉瘀阻所致的心悸气短，胸闷作痛，自汗乏力，脉微结代。
冠心苏合丸,丸剂,理气，宽胸，止痛。用于寒凝气滞、心脉不通所致的胸痹，症见胸闷、心前区疼痛；冠心病心绞痛见上述证候者。
冠心苏合胶囊,胶囊剂,理气，宽胸，止痛。用于寒凝气滞、心脉不通所致的胸痹，症见胸闷、心前区疼痛；冠心病心绞痛见上述证候者。
冠心舒通胶囊,胶囊剂,活血化瘀，通经活络，行气止痛。用于胸痹心血瘀阻证，症见胸痛、胸闷、心慌、气短；冠心病、心绞痛见上述证候者。
冠脉宁胶囊,胶囊剂,活血化瘀，行气止痛。用于胸部刺痛，固定不移，入夜更甚，心悸不宁，舌质紫暗，脉沉弦；冠心病心绞痛、冠状动脉供血不足见上述证候者。
祛风止痛丸,丸剂,祛风寒，补肝肾，壮筋骨。用于风寒湿邪闭阻、肝肾亏虚所致的痹病，症见关节肿胀、腰膝疼痛、四肢麻木。
祛风止痛片,片剂,祛风寒，补肝肾，壮筋骨。用于风寒湿邪闭阻、肝肾亏虚所致的痹病，症见关节肿胀、腰膝疼痛、四肢麻木。
祛风止痛胶囊,胶囊剂,祛风寒，补肝肾，壮筋骨。用于风寒湿邪闭阻、肝肾亏虚所致的痹病，症见关节肿胀、腰膝疼痛、四肢麻木。
祛风舒筋丸,丸剂,祛风散寒，除湿活络。用于风寒湿闭阻所致的痹病，症见关节疼痛、局部畏恶风寒、屈伸不利、四肢麻木、腰腿疼痛。
祛伤消肿酊,酊剂,活血化瘀，消肿止痛。用于跌打损伤，皮肤青紫瘀斑，肿胀疼痛，关节屈伸不利；急性扭挫伤见上述证候者。
祛痰灵口服液,口服液,清肺化痰。用于痰热壅肺所致的咳嗽、痰多、喘促；急、慢性支气管炎见上述证候者。
祖师麻片,片剂,祛风除湿，活血止痛。用于风湿痹症，关节炎，类风湿关节炎。也可用于坐骨神经痛、肩周炎寒湿阻络证，症见：关节痛，遇寒痛增，得热痛减，以及腰、腿、肩部疼痛重着者等。
神香苏合丸,丸剂,温通宣痹，行气化浊。用于寒凝心脉、气机不畅所致的胸痹，症见心痛、胸闷、胀满、遇寒加重；冠心病心绞痛见上述证候者。
除湿白带丸,丸剂,健脾益气，除湿止带。用于脾虚湿盛所致带下病，症见带下量多、色白质稀、纳少、腹胀、便溏。
珠黄吹喉散,散剂,解毒化腐生肌。用于热毒内蕴所致的咽喉口舌肿痛、糜烂。
珠黄散,散剂,清热解毒，祛腐生肌。用于热毒内蕴所致的咽痛、咽部红肿、糜烂、口腔溃疡久不收敛。
蚕蛾公补片,片剂,补肾壮阳，养血，填精。用于肾阳虚损，阳痿早泄，性功能衰退。
都梁丸,丸剂,祛风散寒，活血通络。用于风寒瘀血阻滞脉络所致的头痛，症见头胀痛或刺痛、痛有定处、反复发作、遇风寒诱发或加重。
都梁软胶囊,软胶囊,祛风散寒，活血通络。用于风寒瘀血阻滞脉络所致的头痛，症见头胀痛或刺痛，痛有定处，反复发作，遇风寒诱发或加重。
都梁滴丸,滴丸,祛风散寒，活血通络。用于风寒瘀血阻滞脉络所致的头痛，症见头胀痛或刺痛，痛有定处，反复发作，遇风寒诱发或加重。
荷丹片,片剂,化痰降浊，活血化瘀。用于高脂血症属痰浊挟瘀证候者。
荷叶丸,丸剂,凉血止血。用于血热所致的咯血、衄血、尿血、便血、崩漏。
桂龙咳喘宁胶囊,胶囊剂,止咳化痰，降气平喘。用于外感风寒、痰湿阻肺引起的咳嗽、气喘、痰涎壅盛；急慢性支气管炎见上述证候者。
桂龙咳喘宁颗粒,颗粒剂,止咳化痰，降气平喘。用于外感风寒、痰湿阻肺引起的咳嗽、气喘、痰涎壅盛；急、慢性支气管炎见上述证候者。
桂芍镇痫片,片剂,调和营卫，清肝胆。用于治疗各种发作类型的癫痫。
桂附地黄口服液,口服液,温补肾阳。用于肾阳不足，腰膝酸冷，肢体浮肿，小便不利或反多，痰饮喘咳，消渴。
桂附地黄丸,丸剂,温补肾阳。用于肾阳不足，腰膝酸冷，肢体浮肿，小便不利或反多，痰饮喘咳，消渴。
桂附地黄胶囊,胶囊剂,温补肾阳。用于肾阳不足，腰膝酸冷，肢体浮肿，小便不利或反多，痰饮喘咳，消渴。
桂附理中丸,丸剂,补肾助阳，温中健脾。用于肾阳衰弱，脾胃虚寒，脘腹冷痛，呕吐泄泻，四肢厥冷。
桂林西瓜霜,散剂,清热解毒，消肿止痛。用于风热上攻、肺胃热盛所致的乳蛾、喉痹、口糜，症见咽喉肿痛、喉核肿大、口舌生疮、牙龈肿痛或出血；急、慢性咽炎，扁桃体炎，口腔炎，口腔溃疡，牙龈炎见上述证候者及轻度烫伤（表皮未破）者。
桂枝茯苓丸,丸剂,活血，化瘀，消癥。用于妇人宿有癥块，或血瘀经闭，行经腹痛，产后恶露不尽。
桂枝茯苓片,片剂,活血，化瘀，消癥。用于妇人瘀血阻络所致癥块、经闭、痛经、产后恶露不尽；子宫肌瘤，慢性盆腔炎包块，痛经，子宫内膜异位症，卵巢囊肿见上述证候者。
桂枝茯苓胶囊,胶囊剂,活血，化瘀，消癥。用于妇人瘀血阻络所致癥块、经闭、痛经、产后恶露不尽；子宫肌瘤，慢性盆腔炎包块，痛经，子宫内膜异位症，卵巢囊肿见上述证候者；也可用于女性乳腺囊性增生病属瘀血阻络证，症见乳房疼痛、乳房肿块、胸胁胀闷；或用于前列腺增生属瘀阻膀胱证，症见小便不爽、尿细如线、或点滴而下、小腹胀痛者。
桔贝合剂,口服液,清热润肺，化痰止咳。用于肺热咳嗽，痰稠色黄，咯痰不爽。
桔梗冬花片,片剂,止咳祛痰。用于痰浊阻肺所致的咳嗽痰多；支气管炎见上述证候者。
根痛平颗粒,颗粒剂,活血，通络，止痛。用于风寒阻络所致颈、腰椎病，症见肩颈疼痛、活动受限、上肢麻木。
速效牛黄丸,丸剂,清热解毒，开窍镇惊。用于痰火内盛所致烦躁不安、神志昏迷及高血压引起的头目眩晕。
唇齿清胃丸,丸剂,清胃火。用于由胃火引起的牙龈肿痛，口干唇裂，咽喉痛。
夏天无片,片剂,活血通络，行气止痛。用于瘀血阻络、气行不畅所致的中风，症见半身不遂、偏身麻木，或跌扑损伤、气血瘀阻所致的肢体疼痛、肿胀麻木；风湿性关节炎、坐骨神经痛见上述证候者。
夏天无滴眼液,洗剂,活血明目舒筋。用于血瘀筋脉阻滞所致的青少年远视力下降、不能久视；青少年假性近视症见上述证候者。
夏枯草口服液,口服液,清火，散结，消肿。用于火热内蕴所致的头痛、眩晕、瘰疬、瘿瘤、乳痈肿痛；甲状腺肿大、淋巴结核、乳腺增生见上述证候者。
夏枯草膏,膏剂,清火，散结，消肿。用于火热内蕴所致的头痛、眩晕、瘰疬、瘿瘤、乳痈肿痛；甲状腺肿大、淋巴结核、乳腺增生病见上述证候者。
夏桑菊颗粒,颗粒剂,清肝明目，疏风散热，除湿痹，解疮毒。用于风热感冒，目赤头痛，高血压，头晕耳鸣，咽喉肿痛，疔疮肿毒。
热炎宁片,片剂,清热解毒。用于外感风热、内郁化火所致的风热感冒、发热、咽喉肿痛、口苦咽干、咳嗽痰黄、尿黄便结；化脓性扁桃体炎、急性咽炎、急性支气管炎、单纯性肺炎见上述证候者。
热炎宁合剂,口服液,清热解毒。用于外感风热、内郁化火所致的风热感冒、发热、咽喉肿痛，口苦咽干、咳嗽痰黄、尿黄便结；化脓性扁桃体炎，急性咽炎、急性支气管炎、单纯性肺炎见上述证候者。
热炎宁颗粒,颗粒剂,清热解毒。用于外感风热、内郁化火所致的风热感冒、发热、咽喉肿痛、口苦咽干、咳嗽痰黄、尿黄便结；化脓性扁桃体炎、急性咽炎、急性支气管炎、单纯性肺炎见上述证候者。
热淋清颗粒,颗粒剂,清热泻火，利尿通淋。用于下焦湿热所致的热淋，症见尿频、尿急、尿痛；尿路感染、肾盂肾炎见上述证候者。
柴连口服液,口服液,解表宣肺，化湿和中。用于感冒风寒挟湿证，症见恶寒发热，头痛鼻塞，咳嗽，咽干，脘闷，恶心。
柴胡口服液,口服液,解表退热。用于外感发热，症见身热面赤、头痛身楚、口干而渴。
柴胡舒肝丸,丸剂,舒肝理气，消胀止痛。用于肝气不舒，胸胁痞闷，食滞不清，呕吐酸水。
柴胡滴丸,滴丸,解表退热。用于外感发热，症见身热面赤、头痛身楚、口干而渴。
柴黄口服液,口服液,清热解表。用于风热感冒，症见发热、周身不适、头痛、目眩、咽喉肿痛。
柴黄片,片剂,清热解表。用于风热感冒，症见发热、周身不适、头痛、目眩、咽喉肿痛。
柴银口服液,口服液,清热解毒，利咽止咳。用于上呼吸道感染外感风热证，症见：发热恶风，头痛、咽痛，汗出，鼻塞流涕，咳嗽，舌边尖红，苔薄黄。
致康胶囊,胶囊剂,清热凉血止血，化瘀生肌定痛。用于创伤性出血，崩漏、呕血及便血等。
逍遥丸,丸剂,疏肝健脾，养血调经。用于肝郁脾虚所致的郁闷不舒、胸胁胀痛、头晕目眩、食欲减退、月经不调。
逍遥丸（水丸）,丸剂,疏肝健脾，养血调经。用于肝郁脾虚所致的郁闷不舒、胸胁胀痛、头晕目眩、食欲减退、月经不调。
